17,1,11,21,164.651,1,2,18592.8,4145.73
17,2,12,17,232.354,2,1,23522.4,4065.77
19,1,13,4,86.703,2,2,19271.1,2817.82
19,2,14,7,90.89,1,1,27033.8,2554.15
23,1,21,1,124.031,1,1,27150.6,1110.39
23,2,22,2,146.661,2,2,17538.5,2154.85
24,1,25,23,864.121,1,2,20340.1,2619.0
24,2,27,5,311.13,2,1,26770.1,1436.38
25,1,23,16,241.165,2,1,26388.9,2963.27
25,2,24,23,106.541,1,2,18315.6,3850.32
26,1,26,18,170.657,1,1,31900.9,3277.07
26,2,28,20,202.731,2,2,18781.1,2605.29
27,1,29,3,49.642,1,1,0.0,0.0
28,1,30,5,67.849,1,2,0.0,0.0
29,1,31,18,917.372,1,1,25779.1,3701.17
29,2,32,19,917.086,2,2,18466.0,2624.85
30,1,33,17,141.221,1,2,18536.6,2286.03
30,2,34,25,270.257,2,1,28877.6,4843.94
31,1,35,8,118.342,1,1,28580.5,2419.97
31,2,36,1,215.492,2,2,18335.7,2299.9
32,1,37,11,94.986,1,2,0.0,0.0
33,1,38,4,54.072,1,1,0.0,0.0
35,1,39,1,128.945,2,1,22982.7,920.544
35,2,40,7,110.374,1,2,18237.7,2267.33
36,1,41,3,8.589,1,1,0.0,0.0
38,1,42,5,54.518,2,1,29289.2,1810.22
38,2,43,23,147.478,1,2,19487.2,2504.24
40,1,44,5,92.296,2,2,0.0,0.0
40,2,45,1,43.815,1,1,0.0,0.0
41,1,46,6,106.669,2,1,25519.2,2601.91
41,2,47,6,98.666,1,2,18330.3,2327.84
43,1,48,7,56.707,2,2,17780.6,2597.59
43,2,49,23,133.911,1,1,29633.7,2373.24
44,1,50,1,8.933,2,1,21186.7,249.28
44,2,51,2,22.759,1,2,16897.3,2139.93
49,1,52,24,224.244,1,1,27711.3,2576.37
49,2,53,16,170.634,2,2,18034.2,2692.34
50,1,54,7,65.449,1,2,0.0,0.0
51,1,55,1,75.519,1,1,0.0,0.0
52,1,56,3,27.579,1,2,17529.2,1897.24
52,2,57,1,32.079,2,1,24277.8,1294.84
53,1,58,23,201.595,1,1,0.0,0.0
54,1,59,16,115.727,1,2,18188.2,2635.28
54,2,60,41,304.235,2,1,28513.2,2892.84
55,1,61,15,791.569,1,1,23914.4,3324.22
55,2,65,8,573.567,2,2,18357.6,2217.27
56,1,62,23,230.06,1,2,18575.5,2571.67
56,2,63,21,446.453,2,1,24442.6,2689.29
58,1,64,10,277.865,1,1,26951.6,2239.21
58,2,66,4,114.814,2,2,19208.3,2593.4
59,1,67,3,36.311,1,2,17769.8,2362.51
59,2,68,5,118.776,2,1,26566.0,1891.23
60,1,69,6,70.619,1,1,28374.9,1501.97
60,2,70,5,78.402,2,2,20055.7,2737.78
61,1,71,8,277.765,1,2,18575.5,2563.36
61,2,72,7,304.647,2,1,26038.6,2369.95
63,1,75,8,79.445,2,2,18253.8,2506.82
63,2,76,5,83.348,1,1,25012.9,1619.74
64,1,77,8,97.98,2,2,18419.5,2590.63
64,2,78,8,73.417,1,1,25160.9,1288.27
65,1,80,18,188.477,2,1,31669.2,3994.29
65,2,82,20,125.384,1,2,18605.5,2624.86
66,1,79,5,56.171,2,1,29005.5,1206.1
66,2,81,14,57.006,1,2,18433.9,2276.33
67,1,83,10,91.871,2,2,18216.7,2267.35
67,2,84,12,161.545,1,1,26003.3,2458.86
68,1,85,20,162.082,2,2,18372.9,2252.15
68,2,86,42,235.597,1,1,27098.0,2659.06
69,1,87,2,20.851,2,1,23604.5,307.534
69,2,88,7,78.23,1,2,17767.2,2012.43
70,1,89,3,183.102,2,2,0.0,0.0
71,1,90,19,168.232,2,1,28231.5,3644.96
71,2,91,16,73.683,1,2,18333.6,2222.39
74,1,92,6,217.666,2,2,17876.3,1746.79
74,2,93,9,159.441,1,1,30053.0,1761.5
75,1,94,2,43.492,2,1,24617.3,1255.05
75,2,95,4,26.075,1,2,17779.1,2453.77
76,1,96,37,872.654,2,2,20720.5,3354.0
76,2,97,34,333.109,1,1,30128.1,3828.78
77,1,98,28,298.987,2,1,24837.9,4113.78
77,2,99,17,138.847,1,2,17875.1,3416.99
78,1,100,16,267.397,2,2,18442.6,2454.79
78,2,101,15,99.404,2,2,18451.6,2583.08
78,3,102,8,73.573,1,1,24802.3,2000.51
79,1,103,6,119.406,2,1,24492.5,2155.3
79,2,104,8,49.758,1,2,17945.5,2015.78
81,1,105,15,233.426,2,1,24903.0,3143.0
81,2,106,4,33.598,1,2,17688.7,1853.69
83,1,107,6,92.956,2,2,18150.7,2444.57
83,2,108,5,84.943,1,1,26761.5,1326.83
84,1,109,7,140.055,2,1,25540.4,1541.89
84,2,110,4,27.703,1,2,18174.3,2557.32
85,1,111,8,354.286,2,1,24427.7,2470.4
85,2,112,18,166.634,1,2,18320.5,2329.95
86,1,113,11,203.079,2,2,18194.8,2255.85
86,2,114,13,75.271,1,1,25614.4,3880.08
